name,type,parent_module,full_path,links_out,links_in,lines
errors.py,module,,context_m/errors.py,0,8,16
ContextMError,class,errors.py,context_m/errors.py,1,7,2
StoreError,class,errors.py,context_m/errors.py,1,0,2
ExtractionError,class,errors.py,context_m/errors.py,1,0,2
SecurityError,class,errors.py,context_m/errors.py,1,1,2
VerificationError,class,errors.py,context_m/errors.py,1,4,2
BranchError,class,errors.py,context_m/errors.py,1,5,2
MigrationError,class,errors.py,context_m/errors.py,1,5,2
CodecError,class,errors.py,context_m/errors.py,1,6,2
cli.py,module,,context_m/cli.py,6,3,273
main,function,cli.py,context_m/cli.py,15,13,243
cost_report,function,cli.py,context_m/cli.py,3,1,23
_memory,function,cli.py,context_m/cli.py,2,6,7
_,function,cli.py,context_m/cli.py,0,0,0
config.py,module,,context_m/config.py,0,13,338
Config,class,config.py,context_m/config.py,9,12,333
_env_bool,function,config.py,context_m/config.py,0,9,5
metrics.py,module,,context_m/metrics.py,1,10,32
llm_calls,function,metrics.py,context_m/metrics.py,0,0,2
bump_llm_call,function,metrics.py,context_m/metrics.py,0,0,6
bump_ingest,function,metrics.py,context_m/metrics.py,0,0,8
bump_retrieval,function,metrics.py,context_m/metrics.py,0,0,6
counters,function,metrics.py,context_m/metrics.py,0,0,2
reset_counters,function,metrics.py,context_m/metrics.py,0,0,8
__init__.py,module,,context_m/__init__.py,19,4,15
__getattr__,function,__init__.py,context_m/__init__.py,1,0,12
_,function,__init__.py,context_m/__init__.py,0,0,0
_lazy_memory,function,__init__.py,context_m/__init__.py,0,1,3
util.py,module,,context_m/util.py,0,37,99
normalize,function,util.py,context_m/util.py,1,9,7
similarity,function,util.py,context_m/util.py,3,8,22
h64,function,util.py,context_m/util.py,0,15,4
utc_now,function,util.py,context_m/util.py,0,0,2
iso,function,util.py,context_m/util.py,0,33,2
parse_ts,function,util.py,context_m/util.py,0,18,18
new_id,function,util.py,context_m/util.py,0,9,2
words,function,util.py,context_m/util.py,0,27,2
token_estimate,function,util.py,context_m/util.py,0,8,4
levenshtein,function,util.py,context_m/util.py,0,6,20
month_number,function,util.py,context_m/util.py,0,1,4
month_name,function,util.py,context_m/util.py,0,8,2
days_in,function,util.py,context_m/util.py,0,0,4
fmt_date,function,util.py,context_m/util.py,0,0,2
fmt_month,function,util.py,context_m/util.py,0,0,2
clamp,function,util.py,context_m/util.py,0,0,2
accel.py,module,,context_m/accel.py,1,1,295
h64,function,accel.py,context_m/accel.py,4,0,4
recommend_codec,function,accel.py,context_m/accel.py,1,1,10
tier_status,function,accel.py,context_m/accel.py,2,0,5
dot,function,accel.py,context_m/accel.py,4,10,8
batch_dot,function,accel.py,context_m/accel.py,4,4,16
SimdKernels,class,accel.py,context_m/accel.py,19,1,66
dot_i8_f32,function,accel.py,context_m/accel.py,2,3,10
cosine,function,accel.py,context_m/accel.py,3,3,16
l2_sq,function,accel.py,context_m/accel.py,2,3,10
batch_dot_i8,function,accel.py,context_m/accel.py,2,4,12
topk,function,accel.py,context_m/accel.py,1,3,15
argmax,function,accel.py,context_m/accel.py,2,4,13
_,function,accel.py,context_m/accel.py,0,0,0
rust_status,function,accel.py,context_m/accel.py,0,0,2
RustVSA,class,accel.py,context_m/accel.py,0,0,43
QuadrantANN,class,accel.py,context_m/accel.py,0,0,43
detect_tier,function,accel.py,context_m/accel.py,0,2,19
_as_f32,function,accel.py,context_m/accel.py,0,7,3
cortexm.py,module,,context_m/cortexm.py,1,0,0
_,function,cortexm.py,context_m/cortexm.py,0,0,0
server.py,module,,context_m/mcp/server.py,11,3,619
MCPServer,class,server.py,context_m/mcp/server.py,16,1,597
_,function,server.py,context_m/mcp/server.py,2,0,0
serve,function,server.py,context_m/mcp/server.py,4,7,22
cose.py,module,,context_m/provenance/cose.py,1,3,109
sign_commit,function,cose.py,context_m/provenance/cose.py,1,0,42
verify_commit,function,cose.py,context_m/provenance/cose.py,2,0,36
_,function,cose.py,context_m/provenance/cose.py,7,0,0
envelope_from_dict,function,cose.py,context_m/provenance/cose.py,1,0,3
_b64url,function,cose.py,context_m/provenance/cose.py,0,6,2
_b64url_decode,function,cose.py,context_m/provenance/cose.py,0,1,3
CoseSign1Envelope,class,cose.py,context_m/provenance/cose.py,0,2,23
vc.py,module,,context_m/provenance/vc.py,2,2,149
export_memory_range_vc,function,vc.py,context_m/provenance/vc.py,2,0,52
verify_vc,function,vc.py,context_m/provenance/vc.py,1,0,31
_,function,vc.py,context_m/provenance/vc.py,3,0,0
VerifiableCredential,class,vc.py,context_m/provenance/vc.py,0,1,30
_merkle_root,function,vc.py,context_m/provenance/vc.py,0,2,26
_jcs_canonical,function,vc.py,context_m/provenance/vc.py,0,2,10
scitt.py,module,,context_m/provenance/scitt.py,3,1,189
_ScittLog,class,scitt.py,context_m/provenance/scitt.py,7,2,89
_merkle_level,function,scitt.py,context_m/provenance/scitt.py,1,2,10
_verify_inclusion,function,scitt.py,context_m/provenance/scitt.py,2,1,10
_merkle_root,function,scitt.py,context_m/provenance/scitt.py,1,0,8
_inclusion_path,function,scitt.py,context_m/provenance/scitt.py,1,1,26
verify_receipt,function,scitt.py,context_m/provenance/scitt.py,1,2,12
_,function,scitt.py,context_m/provenance/scitt.py,1,0,0
reset_scitt_log,function,scitt.py,context_m/provenance/scitt.py,1,0,4
submit_to_scitt,function,scitt.py,context_m/provenance/scitt.py,1,0,4
ScittReceipt,class,scitt.py,context_m/provenance/scitt.py,0,1,9
ScittStatement,class,scitt.py,context_m/provenance/scitt.py,0,1,5
_h,function,scitt.py,context_m/provenance/scitt.py,0,4,9
get_scitt_service_did,function,scitt.py,context_m/provenance/scitt.py,0,0,3
agent.py,module,,context_m/provenance/agent.py,0,4,173
Ed25519AgentKey,class,agent.py,context_m/provenance/agent.py,2,2,139
_did_key_from_pubkey,function,agent.py,context_m/provenance/agent.py,1,2,9
get_default_agent,function,agent.py,context_m/provenance/agent.py,1,4,6
_base58btc_encode,function,agent.py,context_m/provenance/agent.py,0,1,15
set_default_agent,function,agent.py,context_m/provenance/agent.py,0,0,4
importers.py,module,,context_m/migrate/importers.py,3,1,166
_iter_mem0_rows,function,importers.py,context_m/migrate/importers.py,2,1,51
_iter_zep_rows,function,importers.py,context_m/migrate/importers.py,1,1,17
_iter_chroma_rows,function,importers.py,context_m/migrate/importers.py,2,1,35
import_zep,function,importers.py,context_m/migrate/importers.py,3,0,23
import_mem0,function,importers.py,context_m/migrate/importers.py,3,0,22
import_chroma,function,importers.py,context_m/migrate/importers.py,1,0,18
_,function,importers.py,context_m/migrate/importers.py,0,0,0
chaos.py,module,,context_m/api/chaos.py,4,1,56
_get_cache,function,chaos.py,context_m/api/chaos.py,3,1,10
_,function,chaos.py,context_m/api/chaos.py,1,0,0
chaos_ingest,function,chaos.py,context_m/api/chaos.py,1,2,46
memory.py,module,,context_m/api/memory.py,25,8,593
Memory,class,memory.py,context_m/api/memory.py,55,13,593
_,function,memory.py,context_m/api/memory.py,1,0,0
fuzzy.py,module,,context_m/text/fuzzy.py,1,1,172
_,function,fuzzy.py,context_m/text/fuzzy.py,1,0,0
similarity,function,fuzzy.py,context_m/text/fuzzy.py,1,0,6
fuzzy_contains,function,fuzzy.py,context_m/text/fuzzy.py,2,0,9
bitap_levenshtein,function,fuzzy.py,context_m/text/fuzzy.py,1,2,59
_levenshtein_substring,function,fuzzy.py,context_m/text/fuzzy.py,1,1,21
levenshtein,function,fuzzy.py,context_m/text/fuzzy.py,2,0,16
best_match,function,fuzzy.py,context_m/text/fuzzy.py,2,0,28
_levenshtein_full,function,fuzzy.py,context_m/text/fuzzy.py,0,3,18
ngram_jaccard,function,fuzzy.py,context_m/text/fuzzy.py,0,1,15
embedder.py,module,,context_m/text/embedder.py,3,5,119
HashingEmbedder,class,embedder.py,context_m/text/embedder.py,10,9,110
_,function,embedder.py,context_m/text/embedder.py,1,0,0
EmbeddingProvider,class,embedder.py,context_m/text/embedder.py,1,0,6
_h64,function,embedder.py,context_m/text/embedder.py,0,2,3
tokenizer.py,module,,context_m/text/tokenizer.py,1,8,45
